frequency,raw
20,5.131673869
20.145037,5.127670869
20.291126,5.123667224
20.438274,5.118661618
20.58649,5.112655922
20.73578,5.106651434
20.886153,5.100646956
21.037616,5.094639959
21.190178,5.087635253
21.343846,5.0816303
21.498628,5.074621503
21.654533,5.067616207
21.811569,5.060615989
21.969743,5.054610906
22.129064,5.047600609
22.289541,5.040589864
22.451181,5.03258463
22.613994,5.025584814
22.777988,5.01857969
22.94317,5.011567373
23.109551,5.003562363
23.277138,4.996563875
23.44594,4.989558777
23.615967,4.982544911
23.787226,4.974540094
23.959728,4.967542932
24.13348,4.96053771
24.308493,4.953532449
24.484774,4.946527424
24.662334,4.939511102
24.841182,4.931506748
25.021327,4.924511769
25.202778,4.917494172
25.385544,4.909490091
25.569637,4.902496069
25.755064,4.895477253
25.941836,4.887473768
26.129962,4.880465945
26.319453,4.872462696
26.510318,4.865454635
26.702567,4.857451253
26.89621,4.850459552
27.091257,4.84343766
27.287719,4.835434632
27.485606,4.828443907
27.684927,4.821420684
27.885694,4.813418522
28.087917,4.806409957
28.291607,4.798385889
28.496773,4.790401998
28.703428,4.783393021
28.911581,4.775368594
29.121243,4.767362626
29.332426,4.759357336
29.545141,4.75132908
29.759398,4.7423269
29.975209,4.734338688
30.192584,4.726333514
30.411537,4.718303339
30.632077,4.709302658
30.854216,4.701290485
31.077966,4.692289204
31.303339,4.684303716
31.530346,4.676271143
31.759,4.667271416
31.989311,4.659258237
32.221293,4.650258951
32.454957,4.642245342
32.690316,4.633245315
32.927381,4.625262052
33.166166,4.617225987
33.406682,4.608226521
33.648942,4.600242912
33.89296,4.592238234
34.138746,4.584200138
34.386316,4.575201463
34.63568,4.567220367
34.886853,4.559180765
35.139847,4.550184172
35.394676,4.542169558
35.651353,4.533133398
35.909892,4.524165536
36.170305,4.516150276
36.432607,4.507116643
36.696811,4.498072454
36.962931,4.488075111
37.23098,4.479096577
37.500974,4.470050767
37.772926,4.46005604
38.046849,4.451036301
38.32276,4.441042103
38.600671,4.43202408
38.880597,4.421983223
39.162553,4.412021236
39.446554,4.403002498
39.732615,4.392963075
40.02075,4.382955586
40.310975,4.372950396
40.603304,4.362897627
40.897753,4.351902953
41.194338,4.34192809
41.493073,4.331873626
41.793975,4.320882274
42.097059,4.310860488
42.40234,4.299817924
42.709836,4.288809685
43.019561,4.27780147
43.331533,4.266793238
43.645767,4.255784984
43.96228,4.244776763
44.281088,4.233771475
44.602208,4.222713645
44.925656,4.210664945
45.251451,4.198713121
45.579608,4.187687487
45.910144,4.175641351
46.243078,4.163632363
46.578426,4.151626702
46.916206,4.139560573
47.256435,4.126573452
47.599132,4.114545304
47.944314,4.101496933
48.291999,4.088487198
48.642206,4.075477467
48.994952,4.062467765
49.350256,4.04946183
49.708137,4.036389913
50.068613,4.022405064
50.431703,4.009373626
50.797427,3.99532259
51.165802,3.981312128
51.536849,3.967301645
51.910587,3.953295384
52.287035,3.939222892
52.666213,3.924169973
53.04814,3.909158752
53.432838,3.894147512
53.820325,3.879140821
54.210622,3.864059731
54.603749,3.848078174
54.999728,3.833041159
55.398578,3.816985896
55.80032,3.800978811
56.204976,3.784893658
56.612566,3.767913423
57.023112,3.751873881
57.436635,3.734821941
57.853158,3.717733349
58.2727,3.69975414
58.695285,3.682712388
59.120935,3.664659106
59.549671,3.646567056
59.981517,3.627588895
60.416494,3.609544861
60.854625,3.590490278
61.295934,3.571394783
61.740443,3.551417683
62.188176,3.532377262
62.639156,3.512232073
63.093406,3.491255614
63.55095,3.471207344
64.011812,3.450144187
64.476016,3.429134703
64.943587,3.408038826
65.414548,3.385974319
65.888925,3.363957859
66.366742,3.341947963
66.848024,3.319848856
67.332796,3.296782773
67.821083,3.273772372
68.312912,3.250670608
68.808307,3.226603216
69.307295,3.202585262
69.809901,3.178574406
70.316153,3.154469336
70.826075,3.129400423
71.339695,3.104381722
71.85704,3.079370444
72.378137,3.054262116
72.903013,3.028191704
73.431695,3.002179869
73.964211,2.976068907
74.500588,2.948997162
75.040856,2.921984831
75.585041,2.894871158
76.133173,2.866798125
76.685279,2.838785302
77.24139,2.81066896
77.801533,2.781602909
78.365738,2.752475808
78.934035,2.722508325
79.506453,2.693439975
80.083022,2.663372806
80.663773,2.633251004
81.248735,2.60216505
81.837939,2.571262019
82.431415,2.541081991
83.029196,2.509060932
83.631312,2.477987789
84.237794,2.445909281
84.848674,2.413885341
85.463984,2.381870768
86.083756,2.349741534
86.708023,2.316661597
87.336817,2.283646591
87.970171,2.250504547
88.608118,2.216543104
89.250691,2.183464036
89.897924,2.149392541
90.54985,2.115246745
91.206504,2.080286873
91.867921,2.046205069
92.534133,2.01112216
93.205177,1.976106425
93.881088,1.940956033
94.5619,1.904998409
95.247649,1.869913334
95.938371,1.833828843
96.634102,1.797801889
97.334878,1.761774982
98.040736,1.725748014
98.751713,1.689732276
99.467846,1.653574992
100.189173,1.616621513
100.91573,1.580519754
101.647556,1.543567543
102.384689,1.507476471
103.127168,1.470377572
103.875031,1.433486524
104.628318,1.397393879
105.387067,1.360294263
106.151319,1.323405546
106.921112,1.287311268
107.696489,1.250210895
108.477488,1.213324616
109.264151,1.177215839
110.056518,1.140270649
110.854632,1.104160599
111.658534,1.067203896
112.468265,1.031236254
113.283868,0.9952093269
114.105386,0.9591823934
114.932862,0.9231419403
115.766338,0.8872636301
116.605859,0.8521497026
117.451468,0.8161977293
118.303208,0.7812317836
119.161126,0.7461915525
120.025265,0.7113043237
120.895671,0.6773395047
121.772388,0.6432997167
122.655464,0.6094154311
123.544943,0.5764371952
124.440873,0.5435693497
125.3433,0.511435672
126.252272,0.4786526956
127.167835,0.4475931175
128.090037,0.4156360819
129.018927,0.3848356266
129.954554,0.3547151937
130.896965,0.3237603631
131.846211,0.2939635051
132.80234,0.2648417278
133.765403,0.2349048672
134.73545,0.2059297258
135.712532,0.1770749574
136.6967,0.1489510864
137.688004,0.1200012676
138.686497,0.09219691706
139.692232,0.06523960376
140.705259,0.038219414
141.725633,0.01118261444
142.753407,-0.01568079771
143.788633,-0.04165375517
144.831368,-0.0675148777
145.881663,-0.09248712207
146.939576,-0.1173294798
148.00516,-0.1414763012
