frequency,raw
20,7.919276088
20.145037,7.917677568
20.291126,7.915408628
20.438274,7.912902767
20.58649,7.910451
20.73578,7.908816575
20.886153,7.907413037
21.037616,7.905781083
21.190178,7.904342354
21.343846,7.903581102
21.498628,7.902489755
21.654533,7.900850972
21.811569,7.899154086
21.969743,7.897360711
22.129064,7.897416393
22.289541,7.897874317
22.451181,7.898497346
22.613994,7.89955358
22.777988,7.901103859
22.94317,7.903424255
23.109551,7.905949636
23.277138,7.908837893
23.44594,7.912465551
23.615967,7.916679784
23.787226,7.921241679
23.959728,7.926119138
24.13348,7.931191712
24.308493,7.936540707
24.484774,7.942114071
24.662334,7.94798398
24.841182,7.954397855
25.021327,7.961037534
25.202778,7.967354213
25.385544,7.973754362
25.569637,7.980618302
25.755064,7.987631012
25.941836,7.994402882
26.129962,8.000970879
26.319453,8.007029067
26.510318,8.012558199
26.702567,8.017604841
26.89621,8.022192182
27.091257,8.026210422
27.287719,8.029920509
27.485606,8.033472921
27.684927,8.036537239
27.885694,8.039264484
28.087917,8.040808813
28.291607,8.041836396
28.496773,8.042275967
28.703428,8.041264864
28.911581,8.039139665
29.121243,8.037116213
29.332426,8.034911011
29.545141,8.032874717
29.759398,8.031024584
29.975209,8.02943087
30.192584,8.028015718
30.411537,8.027276088
30.632077,8.027276088
30.854216,8.027516061
31.077966,8.028218136
31.303339,8.028798086
31.530346,8.029342976
31.759,8.029808011
31.989311,8.030254762
32.221293,8.030827862
32.454957,8.031260588
32.690316,8.031276088
32.927381,8.031276088
33.166166,8.031276088
33.406682,8.031276088
33.648942,8.031015547
33.89296,8.029864442
34.138746,8.028403766
34.386316,8.026347404
34.63568,8.0238668
34.886853,8.020797509
35.139847,8.017275556
35.394676,8.013167084
35.651353,8.008310073
35.909892,8.002509674
36.170305,7.995672623
36.432607,7.987550373
36.696811,7.977948274
36.962931,7.966862081
37.23098,7.954818172
37.500974,7.942232092
37.772926,7.930221553
38.046849,7.918211498
38.32276,7.905531997
38.600671,7.892130453
38.880597,7.878365063
39.162553,7.864238735
39.446554,7.849952021
39.732615,7.83573576
40.02075,7.821204222
40.310975,7.805882182
40.603304,7.790097031
40.897753,7.77402466
41.194338,7.757592164
41.493073,7.74080028
41.793975,7.723622889
42.097059,7.706145047
42.40234,7.688177641
42.709836,7.669200532
43.019561,7.649392936
43.331533,7.629637522
43.645767,7.609731557
43.96228,7.589539515
44.281088,7.569027112
44.602208,7.548062731
44.925656,7.52644653
45.251451,7.502951813
45.579608,7.478316451
45.910144,7.453418121
46.243078,7.427954154
46.578426,7.401829969
46.916206,7.375020038
47.256435,7.347686374
47.599132,7.31858979
47.944314,7.286888465
48.291999,7.254945882
48.642206,7.223442963
48.994952,7.191943676
49.350256,7.160599512
49.708137,7.129867287
50.068613,7.099522033
50.431703,7.069154848
50.797427,7.039479067
51.165802,7.011566383
51.536849,6.983376597
51.910587,6.953220524
52.287035,6.92202755
52.666213,6.890074623
53.04814,6.857044594
53.432838,6.822231118
53.820325,6.787511986
54.210622,6.754616895
54.603749,6.72133052
54.999728,6.68667958
55.398578,6.652023715
55.80032,6.617444026
56.204976,6.585663183
56.612566,6.556378381
57.023112,6.527650469
57.436635,6.499253589
57.853158,6.470688502
58.2727,6.440551504
58.695285,6.409086266
59.120935,6.375532432
59.549671,6.339798425
59.981517,6.301016691
60.416494,6.257212869
60.854625,6.210459995
61.295934,6.162606091
61.740443,6.113660083
62.188176,6.064526003
62.639156,6.017245396
63.093406,5.973961796
63.55095,5.936109336
64.011812,5.90036255
64.476016,5.864838869
64.943587,5.83111266
65.414548,5.800479608
65.888925,5.771826037
66.366742,5.744001788
66.848024,5.717322955
67.332796,5.692592689
67.821083,5.669132694
68.312912,5.644453441
68.808307,5.618700696
69.307295,5.590820842
69.809901,5.560842009
70.316153,5.530066599
70.826075,5.497984283
71.339695,5.461801512
71.85704,5.421664537
72.378137,5.379585731
72.903013,5.334866927
73.431695,5.286286489
